str_no_string|NO STRING!{***};;;;;;;;;
str_give_up_fight|Give up the fight?{***};;;;;;;;;
str_do_you_wish_to_leave_tutorial|Do you wish to leave the tutorial?{***};;;;;;;;;
str_do_you_wish_to_surrender|Do you wish to surrender?{***};;;;;;;;;
str_can_not_retreat|You are unable to retreat, there are enemies nearby!{***};;;;;;;;;
str_s1_joined_battle_enemy|{s1} has joined the battle on the enemy side.{***};;;;;;;;;
str_s1_joined_battle_friend|{s1} has joined the battle on your side.{***};;;;;;;;;
str_entrance_to_town_forbidden|The town guards are on the lookout for intruders and it seems that you won't be able to pass through the gates unchallenged.{***};;;;;;;;;
str_sneaking_to_town_impossible|The town guards are alarmed. You wouldn't be able to sneak through that gate no matter how well you disguised yourself.{***};;;;;;;;;
str_battle_won|You have won the battle!{***};;;;;;;;;
str_battle_lost|You have lost the battle!{***};;;;;;;;;
str_attack_walls_success|After a bloody fight, your brave soldiers manage to claim the walls from the enemy.{***};;;;;;;;;
str_attack_walls_failure|Your soldiers fall in waves as they charge the walls, and the few who remain alive soon rout and run away, never to be seen again.{***};;;;;;;;;
str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the castle remains in enemy hands.{***};;;;;;;;;
str_order_attack_success|Your men fight bravely and defeat the enemy.{***};;;;;;;;;
str_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.{***};;;;;;;;;
str_order_attack_continue|Despite an extended skirmish, your troops were unable to win a decisive victory.{***};;;;;;;;;
str_join_order_attack_success|Your men fight well alongside your allies, sharing in the glory as your enemies are beaten.{***};;;;;;;;;
str_join_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drive off the few ragged survivors.{***};;;;;;;;;
str_join_order_attack_continue|Despite an extended skirmish, neither your troops nor your allies were able to win a decisive victory over the enemy.{***};;;;;;;;;
str_siege_defender_order_attack_success|The men of the garrison hold their walls with skill and courage, breaking the enemy assault and skilfully turning the defeat into a full-fledged rout.{***};;;;;;;;;
str_siege_defender_order_attack_failure|The assault quickly turns into a bloodbath. Valiant efforts are for naught; the over matched garrison cannot hold the walls, and the enemy puts every last defender to the sword.{***};;;;;;;;
str_siege_defender_order_attack_continue|Repeated, bloody attempts on the walls fail to gain any ground, but too many enemies remain for the defenders to claim a true victory. The siege continues.{***};;;;;;;;;
str_hero_taken_prisoner|{s1} of {s3} has been taken prisoner by {s2}.{***};;;;;;;;;
str_hero_freed|{s1} of {s3} has been freed from captivity by {s2}.{***};;;;;;;;;
str_center_captured|{s2} have taken {s1} from {s3}.{***};;;;;;;;;
str_troop_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.{***};;;;;;;;;
str_troop_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.{***};;;;;;;;;
str_faction_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.{***};;;;;;;;;
str_faction_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.{***};;;;;;;;;
str_party_gained_morale|Your party gains {reg1} morale.{***};;;;;;;;;
str_party_lost_morale|Your party loses {reg1} morale.{***};;;;;;;;;
str_other_party_gained_morale|{s1} gains {reg1} morale.{***};;;;;;;;;
str_other_party_lost_morale|{s1} loses {reg1} morale.{***};;;;;;;;;
str_qst_follow_spy_noticed_you|The spy has spotted you! He's making a run for it!{***};;;;;;;;;
str_father|father{***};;;;;;;;;
str_husband|husband{***};;;;;;;;;
str_wife|wife{***};;;;;;;;;
str_daughter|daughter{***};;;;;;;;;
str_mother|mother{***};;;;;;;;;
str_son|son{***};;;;;;;;;
str_brother|brother{***};;;;;;;;;
str_sister|sister{***};;;;;;;;;
str_he|He{***};;;;;;;;;
str_she|She{***};;;;;;;;;
str_s3s_s2|{s3}'s {s2}{***};;;;;;;;;
str_s5_is_s51|{s5} is {s51}.{***};;;;;;;;;
str_s5_is_the_ruler_of_s51|{s5} is the ruler of {s51}. {***};;;;;;;;;
str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of {s6}. {***};;;;;;;;;
str_relation_mnus_100|Nemesis{***};;;;;;;;;
str_relation_mnus_90|Implacable{***};;;;;;;;;
str_relation_mnus_80|Vengeful{***};;;;;;;;;
str_relation_mnus_70|Hateful{***};;;;;;;;;
str_relation_mnus_60|Antagonistic{***};;;;;;;;;
str_relation_mnus_50|Hostile{***};;;;;;;;;
str_relation_mnus_40|Angry{***};;;;;;;;;
str_relation_mnus_30|Resentful{***};;;;;;;;;
str_relation_mnus_20|Grumbling{***};;;;;;;;;
str_relation_mnus_10|Suspicious{***};;;;;;;;;
str_relation_plus_0|Indifferent{***};;;;;;;;;
str_relation_plus_10|Cooperative{***};;;;;;;;;
str_relation_plus_20|Welcoming{***};;;;;;;;;
str_relation_plus_30|Favourable{***};;;;;;;;;
str_relation_plus_40|Supportive{***};;;;;;;;;
str_relation_plus_50|Friendly{***};;;;;;;;;
str_relation_plus_60|Gracious{***};;;;;;;;;
str_relation_plus_70|Fond{***};;;;;;;;;
str_relation_plus_80|Loyal{***};;;;;;;;;
str_relation_plus_90|Devoted{***};;;;;;;;;
str_relation_mnus_100_ns|{s60} is your mortal enemy.{***};;;;;;;;;
str_relation_mnus_90_ns|{s60} is implacable towards you.{***};;;;;;;;;
str_relation_mnus_80_ns|{s60} is vengeful towards you.{***};;;;;;;;;
str_relation_mnus_70_ns|{s60} is hateful towards you.{***};;;;;;;;;
str_relation_mnus_60_ns|{s60} is antagonistic towards you.{***};;;;;;;;;
str_relation_mnus_50_ns|{s60} is hostile towards you.{***};;;;;;;;;
str_relation_mnus_40_ns|{s60} is angry towards you.{***};;;;;;;;;
str_relation_mnus_30_ns|{s60} is resentful towards you.{***};;;;;;;;;
str_relation_mnus_20_ns|{s60} is grumbling against you.{***};;;;;;;;;
str_relation_mnus_10_ns|{s60} is suspicious towards you.{***};;;;;;;;;
str_relation_plus_0_ns|{s60} is indifferent towards you.{***};;;;;;;;;
str_relation_plus_10_ns|{s60} is cooperative towards you.{***};;;;;;;;;
str_relation_plus_20_ns|{s60} is welcoming towards you.{***};;;;;;;;;
str_relation_plus_30_ns|{s60} is favorable towards you.{***};;;;;;;;;
str_relation_plus_40_ns|{s60} is supportive of you.{***};;;;;;;;;
str_relation_plus_50_ns|{s60} is friendly towards you.{***};;;;;;;;;
str_relation_plus_60_ns|{s60} is gracious towards you.{***};;;;;;;;;
str_relation_plus_70_ns|{s60} is fond of you.{***};;;;;;;;;
str_relation_plus_80_ns|{s60} is loyal to you.{***};;;;;;;;;
str_relation_plus_90_ns|{s60} is devoted to you.{***};;;;;;;;;
str_relation_reg1| Relation: {reg1}{***};;;;;;;;;
str_center_relation_mnus_100|^The populace hates you with a passion{***};;;;;;;;;
str_center_relation_mnus_90|^The populace hates you intensely{***};;;;;;;;;
str_center_relation_mnus_80|^The populace hates you strongly{***};;;;;;;;;
str_center_relation_mnus_70|^The populace hates you{***};;;;;;;;;
str_center_relation_mnus_60|^The populace is hateful to you{***};;;;;;;;;
str_center_relation_mnus_50|^The populace is extremely hostile to you{***};;;;;;;;;
str_center_relation_mnus_40|^The populace is very hostile to you{***};;;;;;;;;
str_center_relation_mnus_30|^The populace is hostile to you{***};;;;;;;;;
str_center_relation_mnus_20|^The populace is against you{***};;;;;;;;;
str_center_relation_mnus_10|^The populace is opposed to you{***};;;;;;;;;
str_center_relation_plus_0|^The populace is indifferent to you{***};;;;;;;;;
str_center_relation_plus_10|^The populace is acceptive to you{***};;;;;;;;;
str_center_relation_plus_20|^The populace is cooperative to you{***};;;;;;;;;
str_center_relation_plus_30|^The populace is somewhat supportive to you{***};;;;;;;;;
str_center_relation_plus_40|^The populace is supportive to you{***};;;;;;;;;
str_center_relation_plus_50|^The populace is very supportive to you{***};;;;;;;;;
str_center_relation_plus_60|^The populace is loyal to you{***};;;;;;;;;
str_center_relation_plus_70|^The populace is highly loyal to you{***};;;;;;;;;
str_center_relation_plus_80|^The populace is devoted to you{***};;;;;;;;;
str_center_relation_plus_90|^The populace is fiercely devoted to you{***};;;;;;;;;
str_town_prosperity_0|^The poverty of the town of {s60} is unbearable{***};;;;;;;;;
str_town_prosperity_10|^The town of {s60} is all but deserted to its squalor.{***};;;;;;;;;
str_town_prosperity_20|^The town of {s60} looks a wretched, desolate place.{***};;;;;;;;;
str_town_prosperity_30|^The town of {s60} looks poor and neglected.{***};;;;;;;;;
str_town_prosperity_40|^The town of {s60} appears to be struggling.{***};;;;;;;;;
str_town_prosperity_50|^The town of {s60} seems unremarkable.{***};;;;;;;;;
str_town_prosperity_60|^The town of {s60} seems to be flourishing.{***};;;;;;;;;
str_town_prosperity_70|^The prosperous town of {s60} is bustling with activity.{***};;;;;;;;;
str_town_prosperity_80|^The town of {s60} looks rich and well maintained.{***};;;;;;;;;
str_town_prosperity_90|^The town of {s60} is opulent and crowded with well-to-do people.{***};;;;;;;;;
str_town_prosperity_100|^The glittering town of {s60} openly flaunts its great wealth.{***};;;;;;;;;
str_fort_prosperity_0|^The poverty of the castle of {s60} is unbearable{***};;;;;;;;;
str_fort_prosperity_10|^The castle of {s60} is all but deserted to its squalor.{***};;;;;;;;;
str_fort_prosperity_20|^The castle of {s60} looks a wretched, desolate place.{***};;;;;;;;;
str_fort_prosperity_30|^The castle of {s60} looks poor and neglected.{***};;;;;;;;;
str_fort_prosperity_40|^The castle of {s60} appears to be struggling.{***};;;;;;;;;
str_fort_prosperity_50|^The castle of {s60} seems unremarkable.{***};;;;;;;;;
str_fort_prosperity_60|^The castle of {s60} seems to be flourishing.{***};;;;;;;;;
str_fort_prosperity_70|^The prosperous castle of {s60} is bustling with activity.{***};;;;;;;;;
str_fort_prosperity_80|^The castle of {s60} looks rich and well maintained.{***};;;;;;;;;
str_fort_prosperity_90|^The castle of {s60} is opulent and crowded with well-to-do people.{***};;;;;;;;;
str_fort_prosperity_100|^The glittering castle of {s60} openly flaunts its great wealth.{***};;;;;;;;;
str_village_prosperity_0|^The poverty of the village of {s60} is unbearable.{***};;;;;;;;;
str_village_prosperity_10|^The village of {s60} looks wretchedly poor and miserable.{***};;;;;;;;;
str_village_prosperity_20|^The village of {s60} looks very poor and desolate.{***};;;;;;;;;
str_village_prosperity_30|^The village of {s60} looks poor and neglected.{***};;;;;;;;;
str_village_prosperity_40|^The village of {s60} appears to be somewhat poor and struggling.{***};;;;;;;;;
str_village_prosperity_50|^The village of {s60} seems unremarkable.{***};;;;;;;;;
str_village_prosperity_60|^The village of {s60} seems to be flourishing.{***};;;;;;;;;
str_village_prosperity_70|^The village of {s60} appears to be thriving.{***};;;;;;;;;
str_village_prosperity_80|^The village of {s60} looks rich and well maintained.{***};;;;;;;;;
str_village_prosperity_90|^The village of {s60} looks very rich and prosperous.{***};;;;;;;;;
str_village_prosperity_100|^The village of {s60}, surrounded by vast, fertile fields, looks immensely rich.{***};;;;;;;;;
str_town_alt_prosperity_0|Those few items sold in the market appear to be priced well out of the range of the inhabitants. The people are malnourished, their animals are sick or dying, and the tools of their trade appear to be broken. The back alleys have been abandoned to flies and mangy dogs.{***};;;;;;;;;
str_town_alt_prosperity_20|You hear grumbling in the marketplace about the price of everyday items and the shops are half empty. You see the signs of malnourishment on both people and animals, and both buildings and tools suffer from lack of repair. Many may already have migrated to seek work elsewhere.{***};;;;;;;;;
str_town_alt_prosperity_40|You hear the occasional grumble in the marketplace about the price of everyday items, but there appear to be a reasonable amount of goods for sale. You see the occasional abandoned building, shop, or cart, but nothing more than the ordinary.{***};;;;;;;;;
str_town_alt_prosperity_60|The people look well-fed and relatively content. Craftsmen do a thriving business, and some migrants appear to be coming here from other regions to seek their luck.{***};;;;;;;;;
str_town_alt_prosperity_80|The walls, streets, and homes are well-maintained. The markets are thronged with migrants from the nearby regions drawn here by the availability of both goods and work. The rhythm of hammers and looms speak to the business of the artisans' workshops.{***};;;;;;;;;
str_village_alt_prosperity_0|Only a handful of people are strong enough to work in the fields, many of which are becoming overgrown with weeds. The rest are weak and malnourished, or have already fled elsewhere. The draft animals have long since starved or were eaten, although a few carcasses still lie on the outskirts, their bones gnawed by wild beasts.{***};;;;;;;;;
str_village_alt_prosperity_20|Some farmers and animals are out in the fields, but their small numbers suggest that some villagers may be emigrating in search of food. Farm implements look rusty and broken. Brush and weeds seem to be reclaiming some of the outermost fields.{***};;;;;;;;;
str_village_alt_prosperity_40|The fields and orchards are busy, with villagers engaged in the tasks of the seasons. Humans and animals alike look relatively healthy and well-fed. However, a small number of the outermost fields are left unsewn, and some walls are in ill repair, suggesting that there are still not quite enough hands to do all the work which needs to be done.{***};;;;;;;;;
str_village_alt_prosperity_60|The fields and orchards are humming with activity, with filled sacks of grain and drying meat testifying to the productivity of the village's crop land and pasture land.{***};;;;;;;;;
str_village_alt_prosperity_80|The fields and orchards are humming with activity, with freshly dug irrigation ditches suggesting that the farmers have enough spare time and energy to expand the area under cultivation. Seasonal labourers appear to be flocking here to help with the work and join in the general prosperity.{***};;;;;;;;;
str_oasis_village_alt_prosperity_0|The fruit groves are virtually abandoned, and the canals which irrigate them are clogged with silt. The handful of villagers you see look malnourished and restless. The draft animals have long since starved or were eaten, although a few carcasses still lie on the outskirts, their bones gnawed by the wolves.{***};;;;;;;;;
str_oasis_village_alt_prosperity_20|Few villagers can be seen tending to the fruit groves, and in places, the ruins appear to be encroaching on the gardens. Many of the canals are clogged with silt, and the wells and cisterns are filled with sand.{***};;;;;;;;;
str_oasis_village_alt_prosperity_40|Men and women are busy tending the fruit groves, climbing to the tops of trees to pollinate the fruit. Healthy animals draw the pumps and wheels that bring water to the fields. Some of the irrigation canals and cisterns, however, could use some maintenance.{***};;;;;;;;;
str_oasis_village_alt_prosperity_60|The fruit groves and orchards are humming with activity. Farmers call to each other cheerfully from the tops of the trees, where they pollinate the fruit. The creak of wooden pumps, the bellowing of draft animals, and the rush of flowing water speak of an irrigation system that is thriving under the villagers' attention.{***};;;;;;;;;
str_oasis_village_alt_prosperity_80|The fruit groves are humming with activity, as farmers load up a bumper crop of apples for sale to the market. Men and women are hard at work digging new wells and canals, to bring additional land under irrigation.{***};;;;;;;;;
str_acres_grain|acres of grain fields{***};;;;;;;;;
str_acres_orchard|acres of orchards and vineyards{***};;;;;;;;;
str_acres_oasis|acres of irrigated oasis gardens{***};;;;;;;;;
str_looms|looms{***};;;;;;;;;
str_boats|boats{***};;;;;;;;;
str_head_cattle|head of cattle{***};;;;;;;;;
str_head_sheep|head of sheep{***};;;;;;;;;
str_mills|mills{***};;;;;;;;;
str_kilns|kilns{***};;;;;;;;;
str_pans|pans{***};;;;;;;;;
str_deposits|deposits{***};;;;;;;;;
str_hives|hives{***};;;;;;;;;
str_breweries|breweries{***};;;;;;;;;
str_presses|presses{***};;;;;;;;;
str_smithies|smithies{***};;;;;;;;;
str_caravans|overland caravans{***};;;;;;;;;
str_traps|traps{***};;;;;;;;;
str_gardens|small gardens{***};;;;;;;;;
str_tanneries|tanning vats{***};;;;;;;;;
str_forests|forests{***};;;;;;;;;
str_master_miller|Master miller{***};;;;;;;;;
str_master_brewer|Master brewer{***};;;;;;;;;
str_master_presser|Master presser{***};;;;;;;;;
str_master_smith|Master smith{***};;;;;;;;;
str_master_tanner|Master tanner{***};;;;;;;;;
str_master_weaver|Master weaver{***};;;;;;;;;
str_master_dyer|Master dyer{***};;;;;;;;;
str_war_report_minus_4|we are about to lose the war. Women will be raped and children will be slaughtered! Hows that make you feel?{***};;;;;;;;;
str_war_report_minus_3|the situation looks bleak{***};;;;;;;;;
str_war_report_minus_2|things aren't going too well for us{***};;;;;;;;;
str_war_report_minus_1|we can still win the war if we rally{***};;;;;;;;;
str_war_report_0|we are evenly matched with the enemy{***};;;;;;;;;
str_war_report_plus_1|we have a fair chance of winning the war{***};;;;;;;;;
str_war_report_plus_2|things are going quite well{***};;;;;;;;;
str_war_report_plus_3|we should have no difficulty defeating them{***};;;;;;;;;
str_war_report_plus_4|we are about to achieve victory in the war{***};;;;;;;;;
str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seem to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking you've failed to form a single coherent point in your own favour, and you realise that all you've done was dig yourself a deeper hole. Unsurprisingly, {s50} does not look impressed.{***};;;;;;;;;
str_persuasion_summary_bad|You try to persuade {s50}, but {reg51?she:he} outmanoeuvres you from the very start. Even your best arguments sound hollow to your own ears. {s50}, likewise, has not formed a very high opinion of what you had to say.{***};;;;;;;;;
str_persuasion_summary_average|{s50} turns out to be a skilled speaker with a keen mind, and you can't seem to bring forth anything concrete that {reg51?she:he} cannot counter with a rational point. In the end, neither of you manage to gain any ground in this discussion.{***};;;;;;;;;
str_persuasion_summary_good|Through quick thinking and smooth argumentation, you manage to state your case well, forcing {s50} to concede on several points. However, {reg51?she:he} still expresses doubts about your request.{***};;;;;;;;;
str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better . The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well-disposed towards helping you.{***};;;;;;;;;
str_persuasion_summary_very_bad_center|You try your best to persuade the Commander at {s50}, though unfortunately he doesn't seem to trust you enough. You already realise this is not going to end well and figure this was probably not one of your better ideas.^ After a short while the Commander of {s50} decides not to offer an exchange.{***};;;;;;;;;
str_persuasion_summary_bad_center|You try to persuade the Commander at {s50}, but {reg51?she:he} looks very disinterested from the very start.  Already you know they are not going to give up without a fight, so you decide to leave.{***};;;;;;;;;
str_persuasion_summary_average_center|The Commander of {s50} shows a reluctance to co-operate and your request has fallen upon deaf ears,  You decide this is not going to go anywhere fast and decide to leave.{***};;;;;;;;;
str_persuasion_summary_good_center|Although the Commander of {s50} seems to show some inclination of an exchange,   {reg51?she:he} still expresses doubts about your request.{***};;;;;;;;;
str_persuasion_summary_very_good_center|Your request has been successful. The Commander of {s50} is happy with your terms   and {reg51?she:he} seems much more well-disposed towards helping you.{***};;;;;;;;;
str_secret_sign_1|The armoire dances at midnight...{***};;;;;;;;;
str_secret_sign_2|I am selling these fine tapestries. Would you like to buy some?{***};;;;;;;;;
str_secret_sign_3|The friend of a friend sent me...{***};;;;;;;;;
str_secret_sign_4|The wind blows hard from the east and the river runs red...{***};;;;;;;;;
str_countersign_1|But does he dance for the dresser or the candlestick?{***};;;;;;;;;
str_countersign_2|Yes I would, do you have any in blue?{***};;;;;;;;;
str_countersign_3|But, my friend, your friend's friend will never have a friend like me.{***};;;;;;;;;
str_countersign_4|Have you been sick?{***};;;;;;;;;
str_name_1|Janos{***};;;;;;;;;
str_name_2|Arthur{***};;;;;;;;;
str_name_3|Visaries{***};;;;;;;;;
str_name_4|Aemar{***};;;;;;;;;
str_name_5|Fredrick{***};;;;;;;;;
str_name_6|Mark{***};;;;;;;;;
str_name_7|Gunther{***};;;;;;;;;
str_name_8|Peter{***};;;;;;;;;
str_name_9|Francis{***};;;;;;;;;
str_name_10|Drake{***};;;;;;;;;
str_name_11|Gerold{***};;;;;;;;;
str_name_12|Horsa{***};;;;;;;;;
str_name_13|Osred{***};;;;;;;;;
str_name_14|Theodore{***};;;;;;;;;
str_name_15|Werzel{***};;;;;;;;;
str_name_16|William{***};;;;;;;;;
str_name_17|Craig{***};;;;;;;;;
str_name_18|Carrick{***};;;;;;;;;
str_name_19|Inderth{***};;;;;;;;;
str_name_20|David{***};;;;;;;;;
str_name_21|Trevor{***};;;;;;;;;
str_name_22|Janus{***};;;;;;;;;
str_name_23|Benjamin{***};;;;;;;;;
str_name_24|Rhian{***};;;;;;;;;
str_name_25|Hywell{***};;;;;;;;;
str_surname_1|{s50} of White Harbour{***};;;;;;;;;
str_surname_2|{s50} of Tyrosh{***};;;;;;;;;
str_surname_3|{s50} of Duskendale{***};;;;;;;;;
str_surname_4|{s50} the Brave{***};;;;;;;;;
str_surname_5|{s50} of Braavos{***};;;;;;;;;
str_surname_6|{s50} of Highgarden{***};;;;;;;;;
str_surname_7|{s50} Bellius{***};;;;;;;;;
str_surname_8|{s50} Aeros{***};;;;;;;;;
str_surname_9|{s50} Dungradon{***};;;;;;;;;
str_surname_10|{s50} Karakatus{***};;;;;;;;;
str_surname_11|{s50} of Knights Hill{***};;;;;;;;;
str_surname_12|{s50} of Nightsong{***};;;;;;;;;
str_surname_13|{s50} of Ibben{***};;;;;;;;;
str_surname_14|{s50} the Slayer{***};;;;;;;;;
str_surname_15|{s50} the Master{***};;;;;;;;;
str_surname_16|{s50} the Warrior{***};;;;;;;;;
str_surname_17|{s50} the Bold{***};;;;;;;;;
str_surname_18|{s50} of Darry{***};;;;;;;;;
str_surname_19|{s50} of Lord Harroway{***};;;;;;;;;
str_surname_20|{s50} Boulding{***};;;;;;;;;
str_surname_21|{s50} the Long{***};;;;;;;;;
str_surname_22|{s50} the Gaunt{***};;;;;;;;;
str_surname_23|{s50} Silky beard{***};;;;;;;;;
str_surname_24|{s50} the Sparrow{***};;;;;;;;;
str_surname_25|{s50} the Pauper{***};;;;;;;;;
str_surname_26|{s50} the Scarred{***};;;;;;;;;
str_surname_27|{s50} the Fair{***};;;;;;;;;
str_surname_28|{s50} the Grim{***};;;;;;;;;
str_surname_29|{s50} the Red{***};;;;;;;;;
str_surname_30|{s50} the Black{***};;;;;;;;;
str_surname_31|{s50} the Tall{***};;;;;;;;;
str_surname_32|{s50} Star-Eyed{***};;;;;;;;;
str_surname_33|{s50} the Fearless{***};;;;;;;;;
str_surname_34|{s50} the Valorous{***};;;;;;;;;
str_surname_35|{s50} the Cunning{***};;;;;;;;;
str_surname_36|{s50} the Coward{***};;;;;;;;;
str_surname_37|{s50} Bright{***};;;;;;;;;
str_surname_38|{s50} the Quick{***};;;;;;;;;
str_surname_39|{s50} the Minstrel{***};;;;;;;;;
str_surname_40|{s50} the Bold{***};;;;;;;;;
str_surname_41|{s50} Hot-Head{***};;;;;;;;;
str_surnames_end|surnames end{***};;;;;;;;;
str_number_of_troops_killed_reg1|Number of troops killed: {reg1}{***};;;;;;;;;
str_number_of_troops_wounded_reg1|Number of troops wounded: {reg1}{***};;;;;;;;;
str_number_of_own_troops_killed_reg1|Number of friendly troops killed: {reg1}{***};;;;;;;;;
str_number_of_own_troops_wounded_reg1|Number of friendly troops wounded: {reg1}{***};;;;;;;;;
str_retreat|Retreat!{***};;;;;;;;;
str_siege_continues|The Fighting Continues...{***};;;;;;;;;
str_casualty_display|Your casualties: {s10}^Enemy casualties: {s11}{s12}{***};;;;;;;;;
str_casualty_display_hp|^You were wounded for {reg1} hit points.{***};;;;;;;;;
str_quest_log_updated|Your Quest log has been updated...{***};;;;;;;;;
str_banner_selection_text|You have been awarded the right to carry a banner which will display your sigil. Your banner will signify your status and bring honour to you and your House. Which banner do you want to choose?{***};;;;;;;;;
str_retirement_text_1|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save, and you fare poorly in several desperate attempts to start adventuring again. You end up a beggar in {s9}, living on alms and the charity of the church.{***};;;;;;;;;
str_retirement_text_2|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save. Once every silver stag has evaporated in your hands you are forced to start a life of crime in the backstreet's of {s9}, using your skills to eke out a living robbing coppers from women and poor townsmen.{***};;;;;;;;;
str_retirement_text_3|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save, and you end up a penniless drifter, going from tavern to tavern blagging drinks from indulgent patrons by regaling them with war stories that no one ever believes.{***};;;;;;;;;
