qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_High_troop_quality_i|Une grande qualité des troupes augmentera la résistance des soldats mais limitera leur nombre.
qstr_Mercantile_policies_|La politique marchande maximise les exportations tout en minimisant les importations, et augmentent la réglementation gouvernementale de l'industrie.
qstr_Cancel|Annuler
qstr_Dictate_the_peace_te|Dicter les conditions de la paix
qstr_Select_the_castle_an|Sélectionner le château et le montant, et cocher les cases pour activer la demande. Les demandes sont combinées si deux cases sont cochées.
qstr_1000_silver_stags|1000 cerfs dargent
qstr__Continue_|Continuer
qstr_Select_the_number_of|Sélectio'nnez le nombre de tirailleurs que vous souhaitez déployer.
qstr_____SPY_REPORTS____|    RAPPORTS D'ESPIONNAGE   
qstr_Based_on_your_curren|En fonction de votre compétence de "commandement" actuelle, vous pouvez déployer jusqu'à {reg2} espions.
qstr_You_currently_have_{|Vous avez actuellement {esp3} espions déployés.
qstr___No_spy_selected.__|  Aucun espion sélectionné.
qstr___CONTINUE__|  CONTINUER  
qstr_castle|le château
qstr_food_stores.|magasin alimentaires.
qstr_town|la ville
qstr_village|le village
qstr_cattle.|château.
qstr_You_prepare_a_messag|Vous préparez un message pour votre espion à {s1}, en lui ordonnant de ..
qstr__Return_| Retour 
qstr__poison_{s2}_well._| empoisonne {s2} correctement.
qstr__poison_{s2}_{s3}._| empoisonne {s2} {s3}
qstr__cause_dissent._| provoque la dissidence. 
qstr_____|
qstr_Do_it.|Faites-le.
qstr_Make_it_so.|Make it so.{***};;;;
qstr_Have_your_fun.|Amusez-vous.
qstr_I_shall_mix_the_conc|Je vais mélanger la concoction et la mettre dans le puit dans 12 heures,{Monseigneur/Madame}.
qstr_I_ll_have_the_cattle|Je vais avoir le bétail fiévreux dans les 12 heures {Monseigneur/Madame}.
qstr_Within_the_next_12_h|Dans les prochaines 12 heures, le grenier va ressembler à une pile de déchets.
qstr_It_will_take_12_hour|Cela prendra 12 heures ou plus, {Monseigneur/Madame},^mais il devrait avoir tous les hommes, toutes les femmes et tous les enfants qui se batteront dans les rues.
qstr__You_do_not_have_the|Vous n'avez pas les 500 cerfs d'argent pour financer cette mission.
qstr_Number_of_men_knocke|Nombre d'hommes blessés : {reg1}
qstr_Number_of_men_left:_|Nombre d'hommes perdus : {reg1}
qstr_Opponents_Beaten:_{r|Ennemis vaincus : {reg1}
qstr_Opponents_Remaining:|Ennemis restants : {reg1}
qstr_Remain_in_retirement|Rester en retrait.
qstr_Go_back_to_adventuri|Retournez à l'aventure.
qstr_You_have_retired_at_|Vous avez pris votre retraite au niveau {reg4} après {reg5} jours d'aventure.
qstr_Effect_on_Score|Effet sur le score
qstr_Settlements_owned_by|Domaines en votre possession : {reg0}
qstr_Friendly_Settlements|Villages amis : {reg0}
qstr_Hostile_Settlements:|Villages hostiles : {reg0}
qstr_Friendly_Lords:_{reg|Seigneurs amis : {reg0}
qstr_Enemy_Lords:_{reg0}|Seigneurs ennemis : {reg0}
qstr_Victories:_{reg0}|Victoires : {reg0}
qstr_Defeats:_{reg0}|Défaites : {reg0}
qstr_Quests_Completed:_{r|Quêtes accomplies : {reg0}
qstr_Companions_Found:_{r|Compagnons trouvés : {reg0}
qstr_Companions_Lost/Depa|Compagnons perdus/partis : {reg0}
qstr_Wealth:_{reg0}_silve|Fortune: {reg0} cerfs d'argent
qstr_Inventory:_{reg0}_si|Inventaire: {reg0} cerfs d'argent
qstr_Renown:_{reg0}|Renommée : {reg0}
qstr_Experience:_{reg0}|Expérience : {reg0}
qstr_Days_Passed:_{reg0}|Jours écoulés : {reg0}
qstr_Difficulty:_{reg0}%|Difficulté : {reg0}%
qstr_TOTAL_SCORE:_{reg0}|SCORE TOTAL : {reg0}
qstr_Unpaid|Impayé
qstr_None|Rien
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|Personnel :
qstr_Kingdom_Tributes:|Hommages du Royaume:
qstr_You_paid_{reg0}_cash|Vous payez {reg0} en espèces pour liquider une dette
qstr_Earlier_cash:|Liquidités antérieures :
qstr_New_cash:|Nouvelles liquidités :
qstr_Your_troops_are_unpa|Vos troupes ne sont pas payées! Le moral a chuté.
qstr_{s30}{reg1}{reg2}{re|{s30}{reg1},{reg2},{reg3},{reg4},{reg5},{reg6},{reg7},{reg8},{reg9},{reg10},{reg11},{reg12},{reg13},{reg14},{reg15},{reg16},{reg17},{reg18},{reg19},{reg20},{reg21},{reg22},{reg23},{reg24}/
qstr_The_Iron_Bank_of_Bra|La Banque de Fer de Braavos est la banque principale de Braavos et sans doute l'institution financière la plus puissante du Monde Connu. ^^ Vous pouvez voir les navires de la banque amarrés au Port Pourpre et la cour avant semble aussi grande que les gens à l'intérieur. La banque est réputée pour sa discrétion et son secret, bien qu'il soit judicieux de se rappeler que si les dettes ne sont pas remboursées, la Banque de fer aura son dû, quoi qu'il arrive.
qstr_Choose_how_much_mone|Choisissez quelle quantité d'argent vous souhaitez emprunter :
qstr_Borrow|Emprunter
qstr_Pay_off_your_debt|Rembourser votre dette
qstr_Make_Payment|Effectuer le paiement
qstr_{reg6}|{reg6}
qstr_You_must_select_an_a|Vous devez sélectionner un montant à emprunter.
qstr_You_cant_buy_0_acres|Vous ne pouvez pas acheter 0 Hectares!
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|Vous ne pouvez pas rembourser 0 Hectares!
qstr_Town|Ville
qstr_Acres|Hectares
qstr_Owned|Possédé
qstr_Balance|Balance
qstr_Assets|Avoirs
qstr_Debt|Dette
qstr_Deadline|Deadline
qstr_{s9}|{s9}
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr_{reg5}|{reg5}
qstr__Return_to_menu_|Retour menu
qstr_CURRENT_COMMANDER_S_|RAPPORT DU COMMANDANT!
qstr_Your_Commander:_{s19|Votre Commandant: {s19}
qstr_Commander_Relation:_|Relation au Commandant: {reg0}
qstr_Enlisted_Faction:_{s|Faction enrôlée: {s20}
qstr_Current_Rank:_{s21}|Rang actuel: {s21}
qstr_N/A|N/A
qstr_Experience_to_next_p|Experience avant promotion: {s1}
qstr_Days_in_service:_{re|Jours de service: {reg20}
qstr_Current_Wage:_{reg23|Salaire actuel: {reg23} cerfs d'argent.
qstr_Next_Pay/Promotion_d|Prochain salaire: {s25}
qstr_Army_size:_{reg26}|Taille d'armée: {reg26}
qstr_Commander_s_Army|Armée du commandant
qstr_This_is_the_gambling|Voici l'écran de jeu. Maintenez la touche CTRL enfoncée tout en cliquant sur un article pour l'acheter ou le vendre.
qstr_Money:_{s1}|Argent: {s1}
qstr_You_don_t_have_enoug|Vous n'avez pas assez d'argent pour acheter un bâteau.
qstr_He_don_t_have_enough|Il n'a pas assez d'argent.
qstr_Sovereign_colour_of_|Couleur de la faction {s0}:
qstr_Red:|Rouge :
qstr_Green:|Vert :
qstr_Blue:|Bleu :
qstr__
qstr_HTML_code:_{s0}|Code HTML : {s0}
qstr_Default|Par défaut
qstr_Randomize|Aléatoire
qstr_We_believe_the_enemy|Nous croyons que l'ennemi a {reg1} troupes prêtes pour la bataille.
qstr_We_ve_paid_a_bit_of_|Nous avons payé un peu d'or pour nous assurer que {s1} nous aide. Leur groupe a {reg1} troupes fortes.
qstr_We_ve_paid_a_bit_of_g|Nous avons payé un peu d'or pour nous assurer que {s1} nous aide, mais nous devons être vigilant à une éventuelle trahison. Leur groupe est composé de {reg1} troupes fortes.
qstr_{s1}_will_most_assur|{s1} aidera sûrement l'ennemi, amenant {reg1} troupes au combat.
qstr_We_believe_{s1}_will|Nous croyons que {s1} va se retirer de la bataille à venir. Les {reg1} d'entre eux risquent de s'évanouir à la vue du sang.
qstr_{s1}_is_obligated_to|{s1} est obligé de nous rejoindre, amenant {reg1} des troupes au combat.
qstr_{s1}_will_join_us_br|{{s1} nous rejoindra, amenant {reg1} des troupes au combat.
qstr_{s1}_feels_no_obliga|{s1} ne ressent aucune obligation de nous aider. Nous ne leur avons pas fait beaucoup de faveurs par le passé.
qstr__Report_^_Dispositio| Rapport ^ Disposition des groupes à proximité en mesure de se joindre à la bataille.
qstr___Continue__|  Continuer  
qstr__of_the_{s2}.| du {s2}.
qstr__Insult_{s1}.| Insulter {s1}.
qstr__Buy_food_supplies_f| Acheter de la nourriture à {s1}.
qstr__Challenge_{s1}_to_a| Défiez {s1} en duel.
qstr__Send_an_amphorae_of| Envoyez une amphore de vin à {s1} en cadeau.
qstr__Send_a_poisoned_amp| Envoyer une amphore de vin empoisonnée à {s1} en "cadeau".
qstr__Compose_a_message_t| Ecrire un message à {s1}{s9}
qstr_View_Current_Message|Voir le message actuel
qstr__Cancel_Message__| Annuler le message
qstr_{s3}|{s3}
qstr_{s8}|{s8}
qstr__Send_Message_| Envoyer le message
qstr__Cancel_Message_| Annuler le message
qstr__RETURN_| RETOUR 
qstr_Gazing_at_the_maimed|Vous contemplez les mutilés et les morts de votre dernière victoire. Vours ordonnez à vos troupes de 
qstr_Bury_the_dead_gather|Enterrer les morts, rassembler et partager tout le butin comme cela est courant.
qstr_You_estimate_this_wi|Vous estimez que cela prendra 3 heures.
qstr_Leave_the_dead_to_ro|Laisser les morts pourrir mais prendre une partie du butin sur les cadavres.
qstr_You_estimate_this_wil|Vous estimez que cela prendra 2 heures.
qstr_Bury_the_dead_and_le|Enterrer les morts et laisser tout le butin.
qstr_You_estimate_this_will|Vous estimez que cela prendra 2 heures.
qstr_Leave_quickly_and_pr|Quitter rapidement et continuer votre voyage.
qstr_Your_victory_has_inc|Votre victoire a augmenté le moral de vos hommes.
qstr_You_estimate_this_will_|Vous estimez que cela prendra 1 heure.
qstr_Burn_the_dead_in_an_|Enterrer les morts en faisant un offrande à R'hllor, rassembler et partager tout le butin comme cela est courant.
qstr_Burn_the_dead_in_an_o|Enterrer les morts en faisant un offrande à R'hllor et laisser tout le butin.
qstr_Drown_the_dead_in_an|Noyer les morts dans une offrande au Dieu noyé, rassembler et partager tout le butin comme cela est courant.
qstr_Drown_the_dead_in_an_|Noyer les morts dans une offrande au Dieu noyé et laisser tout le butin.
qstr_Bury_or_burn_the_dea|Enterrer ou brûler les morts, rassembler et partager tout le butin comme cela est courant.
qstr_After_the_bloody_bat|Après la bataille sanglante, vous décidez de:
qstr_Deal_with_any_women_|Parler avec les femmes, les enfants et les compagnons des personnes blessés et mortes.
qstr_Join_some_of_the_oth|Rejoignez les autres et essayez de récolter le plus d'or possible.
qstr_The_wealth_provided_|La richesse fournie par votre maître est suffisante. Vous rejoignez les rangs et faites comme on vous dit.
qstr_Your_lord_is_not_hap|Votre seigneur n'est pas heureux et exprime cela ouvertement avec vous. Il ne s'associe pas avec des charognards.
qstr_Your_lord_gifts_you_|Votre seigneur vous offre des anneaux de fer et quelques cerfs d'argent comme symbole de votre bravoure.
qstr_Your_lord_gifts_you_a|Votre seigneur vous offre un bracelet guerrier en récompense de votre courage.
qstr_You_and_your_lord_sh|Vous et votre seigneur partagez des félicitations et il vous félicite pour la victoire.
qstr_Name:_{s1}^Level:_{r|Nom : {s1}^Niv : {reg1}
qstr_{s1}^HP:_{reg0}|{s1}^PV : {reg0}
qstr_{s1}|{s1}
qstr_Attributes:|Attributs :
qstr_{s3}^STR:_{reg1}^INT|{s3}^FOR : {reg1}^INT : {reg2}^^Compétences :
qstr_{s3}^Power_Strike:_{|{s3}^Puissance coup : {reg1}^Puissance tension : {reg2}^Puissance jet : {reg3}^Archerie montée : {reg4}^^Compétences armes :
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^Armes 1 main : {reg1}^Armes 2 mains : {reg2}^Armes d'hast: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^AGI : {reg1}^CHA : {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^Vigueur : {reg1}^Athlétisme : {reg2}^Bouclier : {reg3}^Cavalerie : {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^Archerie : {reg1}^Arbalète : {reg2}^Jet : {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|Équipements :
qstr_Please_select_a_comp|Veuillez choisir un compagnon comme commandant pour la bataille à venir. ^^ Commandant actuel: {s0}.
qstr_{s1}^HP:_{reg1}/{reg|{s1}^PV : {reg1}/{reg2}
qstr_Arms:|Armes :
qstr_{s2}^None|{s2}^Rien
qstr_{s2}^{s3}|{s2}^{s3}
qstr_{s2}^{s4}{s3}|{s2}^{s4}{s3}
qstr_{s2}^^Gear:|{s2}^^Équipement:
qstr_{s2}^^Horse:|{s2}^^Cheval :
qstr_{s2}|{s2}
qstr__Back_to_shop_|Retour magasin
qstr_Strength|Force
qstr_Riding|Équit
qstr_Pdraw|Tir
qstr_Pthrow|Jet
qstr_1_hand|1-Main
qstr_2_hand|2-Mains
qstr_Polearm|Bras
qstr_Archery|Archerie
qstr__X_bow_| X-bow {***};;;;
qstr_Throwing_|Lancer
qstr___Others|  Autres
qstr__Mode|Mode
qstr__to_next_lvl_|(Niv suiv)
qstr__1.3_|1.3
qstr_If_you_can_see_this_|Si vous voyez cela, achetez un nouveau cpu. Sans rigoler
qstr___Weapons_|-Armes-
qstr___Armour_| -Armure-
qstr_________________n/a_|n/a
qstr_{reg1}|{reg1}
qstr_Rides|Monté
qstr_Walks|Sol
qstr_Startpage_set__Quick|Page d'accueil (Vue rapide)
qstr_Back_to_shop|Retour magasin
qstr__[?]_|[?]
qstr_Hotkeys:^HOME_=_Set_|Racourcis :^DÉBUT = Page de départ^ClicD = Retour menu^ECHAP = Vue rapide^RETARR = Retour magasin (si vous y étiez)
qstr___Quit2__|- Quit2 -
qstr__Quick_View_|Vue rapide
qstr_______
qstr_Attributes|Attributs
qstr_Skills|Talents
qstr_Proficiencies|Compétences
qstr_STR:|FOR :
qstr_AGI:|AGI :
qstr_INT:|INT :
qstr_CHA:|CHA :
qstr_Health:|Santé :
qstr_Level:|Niv :
qstr_To_next_lvl:_|Niv Suiv :
qstr_Ironflesh^Power_Stri|Vigueur^Puissance de frappe^Puissance de jet^Puissance de tension^Maître d'armes^Bouclier^Athlétisme^Équitation^Archerie monté^Pillage^Mentor^Pistage^
qstr_Tactics^Path_finding|Tactique^Déplacement^Repérage^Gestion inventaire^Guérison^Chirurgie^Premiers soins^Ingénierie^Persuasion^Divertissement^Commandement^Marchandage
qstr_10|10
qstr_One_Handed_Weapons:^|Armes à une main :^^Armes à deux mains :^^Armes d'hast :^^Arcs :^^Arbalètes :^^Armes de jet :^^Armes à feu :
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_|{reg1}
qstr__100%__|100%
qstr__30_|30
qstr__3333333333_|3333333333
qstr__Weapons_|-Armes-
qstr__Armour_|-Armure-
qstr_n/a_________________|n/a
qstr_{s9}_feels...|{s9} s'estime...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|votre choix de compagnons,
qstr_{s7}|{s7}
qstr_your_style_of_leader|votre style de commandement et...
qstr_the_general_state_of|l'état général des affaires.^------------------------------
qstr_Morale:_____________|Moral :                       ^^Genèse :
qstr_State:______________|État :
qstr_Start_page_set__Exte|Start page set (Extended View){***};;;;
qstr__Faction_Relations_R|Rapport relations entre factions
qstr_Player^Relation|Relation^Joueur
qstr_Status|Statut
qstr_Relation|Relation
qstr_War|Guerre
qstr_Casus_Belli|Suspicion
qstr_Peace|Paix
qstr_Truce|Trêve
qstr_Alliance|Alliance
qstr_Defence_Pact|Pacte de défense
qstr_Trade_Agreement|Accord commercial
qstr_{s60}|{s60}
qstr_{reg59?{reg59}_days:|{reg59?{reg59} jours:}
qstr_{reg61}|{reg61}
qstr_Loyal|Idéale
qstr_Devoted|Exceptionnelle
qstr_Fond|Excellente
qstr_Gracious|Très bonne
qstr_Friendly|Amicale
qstr_Supportive|Cordiale
qstr_Favourable|Favorable
qstr_Cooperative|Coopérative
qstr_Accepting|Tolérante
qstr_Indifferent|Neutre
qstr_Suspicious|Mitigée
qstr_Grumbling|Tendue
qstr_Hostile|Hostile
qstr_Resentful|Rancunière
qstr_Angry|Agressive
qstr_Hateful|Haineuse
qstr_Revengeful|Exécrable
qstr_Vengeful|Atroce
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}Fiefs
qstr_{reg62}_Caravans|{reg62} Caravanes
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}Seigneurs
qstr__Courtships_in_progr|Séduction en cours
qstr__Known_Lords_by_Rela|Seigneurs connus
qstr__Character_&_Compani|Héros et Compagnons
qstr__Done_|Continuer
qstr_Your_supporters|Vos alliés
qstr_The_Vale|The Vale{***};;;;
qstr_Dragonstone|Peyredragon
qstr_Norvos|Norvos
qstr_The_North|Le Nord
qstr_The_Riverlands|The Riverlands{***};;;;
qstr_The_Reach|The Reach{***};;;;
qstr_All_Sovereignties|Toutes Factions
qstr_Braavos|Braavos
qstr_The_Iron_Islands|The Iron Islands{***};;;;
qstr_Dorne|Dorne
qstr_Night_s_Watch|Night's Watch{***};;;;
qstr_Free_Folk|Free Folk{***};;;;
qstr_The_Khalasar|The Khalasar{***};;;;
qstr_Pentos|Pentos{***};;;;
qstr_House_Targaryen|Maison Targaryen
qstr_Myr|Myr
qstr_Tyrosh|Tyrosh
qstr_The_Westerlands|The Westerlands{***};;;;
qstr_lorath|lorath{***};;;;
qstr_Lys|Lys
qstr_Qohor|Qohor
qstr_Volantis|Volantis
qstr_The_Stormlands|The Stormlands{***};;;;
qstr_My_Boats|Mes bâteaux
qstr_Boats_for_Sale|Bateaux à vendre
qstr_No_ships_for_sale^in|Il n'y a pas de bateaux à vendre^dans cette ville.
qstr_No_Name|Pas de nom
qstr_{reg7}._Ship|{reg7}. Navire
qstr_Flagship|Vaisseau amiral
qstr_Very_Good|Très bon
qstr_Good|Bon
qstr_Acceptable|Acceptable
qstr_Bad|Mauvais
qstr_Very_Bad|Très mauvais
qstr_Dangerous|Dangereux
qstr_Repair:_{reg8}_stags|Réparer: {reg8} cerfs d'argent
qstr_Type:_{s7}^Wood:_{s6|Type: {s7}^Bois: {s6}^Condition: {s1}^Vitesse: {reg1} noeuds^Equipage: {reg6} hommes^Prix: {reg7} cerfs d'argent^{s2}
qstr_Repair_Ship|Repérer Navire
qstr_Customize_Ship|Customiser Navire
qstr_Sell_Ship|Vendre Navire
qstr_Buy_Ship|Acheter Navire
qstr_Are_you_sure_you_wan|Êtes-vous sûr de vouloir faire cette transaction?
qstr_Leave_ship_at_the_sh|Laisser le navire sur la rive
qstr_Next_ship|Prochain Navire
qstr_Fleet_Capacity:|Capacité de la flotte :
qstr_{reg1}/{reg2}|{reg1}/{reg2}
qstr_You_cannot_buy_this_|Vous ne pouvez pas acheter ce bateau, car il nécessite une compétence "maîtrise de voile" plus élevée pour gérer ce bateau.
qstr_You_cannot_buy_this_b|Vous ne pouvez pas acheter ce bateau, parce que vous n'avez aucune compétence de "maîtrise de voile".
qstr_You_cannot_buy_this_bo|Vous ne pouvez pas acheter ce bateau, car il nécessite une plus grande "maîtrise de voile" pour gérer plus de bateaux.
qstr_You_cannot_buy_this_boa|Vous ne pouvez pas acheter ce bateau, parce que vous n'avez pas assez d'argent.
qstr_You_can_t_leave_your|Vous ne pouvez pas laisser votre dernier bateau au rivage.
qstr_You_can_t_leave_this|Vous ne pouvez pas quitter ce navire au rivage, parce que sinon votre équipage ne tiendrait pas dans le reste des navires.
qstr_{s1}_s_Ships|Bateaux de {s1}
qstr_You_need_to_get_clos|Vous devez vous rapprocher de la rive si vous voulez y laisser des bateaux.
qstr_You_cannot_repair_th|Vous ne pouvez pas réparer ce bateau, parce que vous n'avez pas assez d'argent.
qstr_No_ships_for_sell^in|Pas de bateaux à vendre^dans cette ville.
qstr_Wood:_{s0}^|Bois: {s0}^
qstr_Custom|Personnalisé
qstr_Red|Rouge
qstr_Black|Noir
qstr_Red_and_white|Rouge et blanc
qstr_Blue_and_white|Bleu et blanc
qstr_White_stripes|Bandes blanches
qstr_White|Blanc
qstr_Rich_white|Rich white{***}
qstr_Cheap_white|Cheap white{***}
qstr_Greyjoy_sigil|Sigil Greyjoy
qstr_Sail:_{s0}^|Voile: {s0}^
qstr_Tarred|Goudronné
qstr_Black_and_yellow|Noir et jaune
qstr_Varnished|Verni
qstr_Red_and_yellow|Rouge et jaune
qstr_Green_and_yellow|Vert et rouge
qstr_Red_and_orange|Rouge et orange
qstr_Green_and_white|Vert et blanc
qstr_Plain|Uni
qstr_Finish:_{s0}^|Finition: {s0}^
qstr_Price:_{reg7}_stags|Prix: {reg7} cerfs d'argent
qstr_{s1}{s2}{s3}{s4}|{s1}{s2}{s3}{s4}
qstr_Change_Finish|Changer Finition
qstr_Change_Sail|Changer Voile
qstr_Apply|Appliquer
qstr_Only_ships_made_of_o|Seuls les navires en chêne sont considérés comme méritant une finition spéciale.
qstr_F4___Advanced_format|F4 - Formations avancées
qstr_F7___Memorize_div._p|F7 - Mémoriser le placement division
qstr_F8___Default_divisio|F8 - Placement division par défault
qstr_F4___Ranks|F4 - Rangs
qstr_F5___Shield_Wall|F5 - Mur de Bouclier
qstr_F6___Wedge|F6 - Wedge{***}
qstr_F7___Square|F7 - Carré
qstr_F8___No_Formation|F8 - Pas de formation
qstr_F1___Movement_orders|F1 - Movement orders{***};;;;
qstr_F2___Formation_order|F2 - Formation orders{***};;;;
qstr_F3___Fire_orders|F3 - Fire orders{***};;;;
qstr_F4___Complex_formati|F4 - Complex formations{***};;;;
qstr_Ranks|En lignes
qstr_Five_Rows|Five Rows{***};;;;
qstr_Shield_Wall|Shield Wall{***};;;;
qstr_Four_Rows|Four Rows{***};;;;
qstr_Wedge|En pique
qstr_Three_Rows|Three Rows{***};;;;
qstr_Square|En carré
qstr_Two_Rows|Two Rows{***};;;;
qstr_No_Formation|No Formation{***};;;;
qstr_Single_Line|Single Line{***};;;;
qstr_Memorize_div._placem|Memorize div. placement{***};;;;
qstr_Default_division_pla|Default division placement{***};;;;
qstr_____Y^Cancel|    Y^Cancel{***};;;;
qstr_____X^__Trait|    X^  Trait{***};;;;
qstr_____B^_Horse|    B^ Horse{***};;;;
qstr_____A^_Creep|    A^ Creep{***};;;;
qstr_Orders|Orders{***};;;;
qstr_Mount|En selle
qstr_Attack_Order|Attack Order{***};;;;
qstr_Retreat|Retreat{***};;;;
qstr_Stand_Ground|Restez là
qstr_Charge|À l'assaut
qstr_Follow_Me|Suivez moi
qstr_Hold_This_Position|Tenez la position
qstr_Spread_Out|Dispersez les rangs
qstr_Stand_Closer|Resserrez les rangs
qstr_Fall_Back|Reculez
qstr_Advance|Avancez
qstr_Dismount|Pied à terre
qstr_Fire_At_Will|Feu à volonté
qstr_Hold_Your_Fire|Cessez le feu
qstr_Use_Blunt_Weapons|Utilisez des armes contondantes
qstr_Use_Any_Weapon|Utilisez tous les types d'armes
qstr_Ready|Prêts
qstr_Wounded|Blessés
qstr_Dead|Morts
qstr_What_will_your_party|Votre compagnie ?
qstr_By_the_name_entered_|Par le nom entré ci-dessus.
qstr_Simply_by_my_name:_{|Simplement par mon nom : {s5}.
qstr_What_will_your_fort_|What will your fort be known as?{***};;;;
qstr_Simply_by:_{s5}.|Simply by: {s5}.{***};;;;
qstr__{s2}_siege_camp.|{s2} camp du siège.
qstr_Stamina:|Stamina:{***};;;;
qstr_Exhausted|Exhausted{***};;;;
qstr_Very_Tired|Very Tired{***};;;;
qstr_Tired|Tired{***};;;;
qstr_Normal|Normal
qstr_High|Haut
qstr_What_name_would_you_|What name would you like to give to your settlement?{***};;;;
qstr_Save_it_as:_{s5}.|Save it as: {s5}.{***};;;;
qstr_Plan_Deployment|Plan de déploiement
qstr_You_will_have_{reg1}|Vous aurez {reg1} troupes en état de combattre au début de la bataille
qstr_Troop|Troupe
qstr_#_at_start__/_#_in_p|# au début  / # dans le groupe
qstr_/_{reg0}|/ {reg0}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_troops|de {reg0} troupes
qstr_Ready_Troops|OK
qstr_Reassess|Retour
qstr_Scrap_All|Tout à 0
qstr_Too_many_troops^Chec|Trop de troupes^Vérifier la validé du nombre
qstr_Initial|Initial
qstr_Movement_1|Mouvement 1
qstr_Movement_2|Mouvement 2
qstr_Formation|Formation
qstr_Attack|Attaque
qstr_Weapon_Type|Type arme
qstr_Shield|Bouclier
qstr_Skirmish|Escarmouche
qstr_Hold_Position|Maintenir position
qstr_Back_10|Recul de 10
qstr_Forward_10|En avant de 10
qstr_Repeat_x|Répéter x
qstr_Shieldwall|Mur-Bouclier
qstr_Ranged|À distance
qstr_Polearms|Armes d'hast
qstr_Two_Handed|2 mains
qstr_One_Handed|1 main
qstr_No_Shields|Pas de bouclier
qstr_Use_Shields|Utiliser bouclier
qstr_Avoid_Melee|Éviter mêlée
qstr_Turn_to_weapon_order|Ordres pour les armes...
qstr_Prepare_Orders|Préparation Ordres
qstr_Dispatch_Orders|Envoi Ordres
qstr_...Turn_to_positioni|...Ordres de position
qstr_Record_Battle_Size_a|Taille des batailles:
qstr_Troop_Assignments|Attribution de troupe
qstr_Split_Troops_into_Se|Répartition des troupes dans les Divisions Secondaires
qstr_Troops_by^_Primary_D|Troupes de la^ Première Division
qstr_#_in^Main_Division|# dans^la Division Principale
qstr_Show/^Hide|Apparent/^Caché
qstr_#_in^Secondary_Divis|# dans^la Seconde Division
qstr_Secondary^Division|Seconde^Division
qstr_Disabled|Désactivé
qstr_Split_Active|Répartition Active
qstr_Clear_All|Tout Effacer
qstr_Discard_Changes|Annuler les changements
qstr_Save|Sauvegarder
